bom_title,budget,cast,filmmakers,genres,gross_domestic,gross_international,gross_worldwide,input_title,input_year,opening_weekend,release_date,runtime_minutes,source_url
Daughter of the Bride,,"[{'actor': 'Annette Haywood-Carter', 'role': 'Director'}, {'actor': 'Karen Bloch Morse', 'role': 'Writer'}, {'actor': 'Tony Glazer', 'role': 'Producer'}, {'actor': 'Summer Crockett Moore', 'role': 'Producer'}, {'actor': 'Patrick Walmsley', 'role': 'Producer'}, {'actor': 'Julie Yorn', 'role': 'Producer'}, {'actor': 'Cathleen Flynn', 'role': 'Composer'}, {'actor': 'Scott Jibben', 'role': 'Composer'}, {'actor': 'Jeff Meegan', 'role': 'Composer'}, {'actor': 'David Tobin', 'role': 'Composer'}, {'actor': 'Patrice Lucien Cochet', 'role': 'Cinematographer'}, {'actor': 'John David Allen', 'role': 'Editor'}, {'actor': 'Debbie DeVilla', 'role': 'Production Designer'}, {'actor': 'Marcia Gay Harden', 'role': 'Diane York See more'}, {'actor': 'Halston Sage', 'role': 'Kate York See more'}, {'actor': 'Andrew Richardson', 'role': 'Josh See more'}, {'actor': 'Aidan Quinn', 'role': 'Bruce Wright See more'}]","[{'name': 'Annette Haywood-Carter', 'role': 'Director'}, {'name': 'Karen Bloch Morse', 'role': 'Writer'}, {'name': 'Tony Glazer', 'role': 'Producer'}, {'name': 'Summer Crockett Moore', 'role': 'Producer'}, {'name': 'Patrick Walmsley', 'role': 'Producer'}, {'name': 'Julie Yorn', 'role': 'Producer'}, {'name': 'Cathleen Flynn', 'role': 'Composer'}, {'name': 'Scott Jibben', 'role': 'Composer'}, {'name': 'Jeff Meegan', 'role': 'Composer'}, {'name': 'David Tobin', 'role': 'Composer'}, {'name': 'Patrice Lucien Cochet', 'role': 'Cinematographer'}, {'name': 'John David Allen', 'role': 'Editor'}, {'name': 'Debbie DeVilla', 'role': 'Production Designer'}, {'name': 'Marcia Gay Harden', 'role': 'Diane York See more'}, {'name': 'Halston Sage', 'role': 'Kate York See more'}, {'name': 'Andrew Richardson', 'role': 'Josh See more'}, {'name': 'Aidan Quinn', 'role': 'Bruce Wright See more'}]",Comedy,,,,Daughter of the Bride,2023,,"February 3, 2023 (Domestic)",102,https://www.boxofficemojo.com/title/tt21106970/
Faraaz,,"[{'actor': 'Hansal Mehta', 'role': 'Director'}, {'actor': 'Raghav Kakkar', 'role': 'Writer'}, {'actor': 'Raghav Raj Kakker', 'role': 'Writer'}, {'actor': 'Kashyap Kapoor', 'role': 'Writer'}, {'actor': 'Nuruzzaman Labu', 'role': 'Writer'}, {'actor': 'Ritesh Shah', 'role': 'Writer'}, {'actor': 'Sakshi Bhatt', 'role': 'Producer'}, {'actor': 'Bhushan Kumar', 'role': 'Producer'}, {'actor': 'Krishan Kumar', 'role': 'Producer'}, {'actor': 'Mazahir Mandsaurwala', 'role': 'Producer'}, {'actor': 'Sahil Saigal', 'role': 'Producer'}, {'actor': 'Anubhav Sinha', 'role': 'Producer'}, {'actor': 'Sameer Rahat', 'role': 'Composer'}, {'actor': 'Pratham Mehta', 'role': 'Cinematographer'}, {'actor': 'Amitesh Mukherjee', 'role': 'Editor'}, {'actor': 'Nikhil S. Kovale', 'role': 'Production Designer'}, {'actor': 'Jatin Sarin', 'role': 'Mobashir See more'}, {'actor': 'Anirban Adhikary', 'role': 'Waiter 1 See more'}, {'actor': 'Aamir Ali', 'role': 'Sudhir See more'}, {'actor': 'Aneeta', 'role': ""Nibras' Sister See more""}]","[{'name': 'Hansal Mehta', 'role': 'Director'}, {'name': 'Raghav Kakkar', 'role': 'Writer'}, {'name': 'Raghav Raj Kakker', 'role': 'Writer'}, {'name': 'Kashyap Kapoor', 'role': 'Writer'}, {'name': 'Nuruzzaman Labu', 'role': 'Writer'}, {'name': 'Ritesh Shah', 'role': 'Writer'}, {'name': 'Sakshi Bhatt', 'role': 'Producer'}, {'name': 'Bhushan Kumar', 'role': 'Producer'}, {'name': 'Krishan Kumar', 'role': 'Producer'}, {'name': 'Mazahir Mandsaurwala', 'role': 'Producer'}, {'name': 'Sahil Saigal', 'role': 'Producer'}, {'name': 'Anubhav Sinha', 'role': 'Producer'}, {'name': 'Sameer Rahat', 'role': 'Composer'}, {'name': 'Pratham Mehta', 'role': 'Cinematographer'}, {'name': 'Amitesh Mukherjee', 'role': 'Editor'}, {'name': 'Nikhil S. Kovale', 'role': 'Production Designer'}, {'name': 'Jatin Sarin', 'role': 'Mobashir See more'}, {'name': 'Anirban Adhikary', 'role': 'Waiter 1 See more'}, {'name': 'Aamir Ali', 'role': 'Sudhir See more'}, {'name': 'Aneeta', 'role': ""Nibras' Sister See more""}]",Action Thriller,,1896,1896,Faraaz,2023,,"February 2, 2023 (United Arab Emirates)",112,https://www.boxofficemojo.com/title/tt15175188/
Who Invited Charlie?,,"[{'actor': 'Xavier Manrique', 'role': 'Director'}, {'actor': 'Nicholas Schutt', 'role': 'Writer'}, {'actor': 'Jason Dubin', 'role': 'Producer'}, {'actor': 'Xavier Manrique', 'role': 'Producer'}, {'actor': 'Nicholas Schutt', 'role': 'Producer'}, {'actor': 'Daniel Rojas', 'role': 'Composer'}, {'actor': 'Scott Miller', 'role': 'Cinematographer'}, {'actor': 'Zach Wolf', 'role': 'Editor'}, {'actor': 'Jordana Brewster', 'role': 'Rosie See more'}, {'actor': 'Reid Scott', 'role': 'Phil See more'}, {'actor': 'Peter Grosz', 'role': 'Trey Reynolds See more'}, {'actor': 'Adam Pally', 'role': 'Charlie See more'}]","[{'name': 'Xavier Manrique', 'role': 'Director'}, {'name': 'Nicholas Schutt', 'role': 'Writer'}, {'name': 'Jason Dubin', 'role': 'Producer'}, {'name': 'Xavier Manrique', 'role': 'Producer'}, {'name': 'Nicholas Schutt', 'role': 'Producer'}, {'name': 'Daniel Rojas', 'role': 'Composer'}, {'name': 'Scott Miller', 'role': 'Cinematographer'}, {'name': 'Zach Wolf', 'role': 'Editor'}, {'name': 'Jordana Brewster', 'role': 'Rosie See more'}, {'name': 'Reid Scott', 'role': 'Phil See more'}, {'name': 'Peter Grosz', 'role': 'Trey Reynolds See more'}, {'name': 'Adam Pally', 'role': 'Charlie See more'}]",Comedy,,6759,6759,Who Invited Charlie?,2023,,"February 3, 2023 (Domestic)",101,https://www.boxofficemojo.com/title/tt16021872/
Tu Jhoothi Main Makkaar,,"[{'actor': 'Luv Ranjan', 'role': 'Director'}, {'actor': 'Rahul Mody', 'role': 'Writer'}, {'actor': 'Luv Ranjan', 'role': 'Writer'}, {'actor': 'Ankur Garg', 'role': 'Producer'}, {'actor': 'Luv Ranjan', 'role': 'Producer'}, {'actor': 'Pritam Chakraborty', 'role': 'Composer'}, {'actor': 'Hitesh Sonik', 'role': 'Composer'}, {'actor': 'Santhana Krishnan Ravichandran', 'role': 'Cinematographer'}, {'actor': 'Anshumaan Singh Thakur', 'role': 'Cinematographer'}, {'actor': 'Akiv Ali', 'role': 'Editor'}, {'actor': 'Chetan Solanki', 'role': 'Editor'}, {'actor': 'Dipankar Dasgupta', 'role': 'Production Designer'}, {'actor': 'Manini Mishra', 'role': 'Production Designer'}, {'actor': 'Korgaonkar Tejas', 'role': 'Production Designer'}, {'actor': 'Shashank Tere', 'role': 'Production Designer'}, {'actor': 'Ranbir Kapoor', 'role': 'Mickey / Rohan Arora See more'}, {'actor': 'Shraddha Kapoor', 'role': 'Tinni / Nisha Malhotra See more'}, {'actor': 'Anubhav Singh Bassi', 'role': 'Manu Dabas See more'}, {'actor': 'Kartik Aaryan', 'role': 'Rahul See more'}]","[{'name': 'Luv Ranjan', 'role': 'Director'}, {'name': 'Rahul Mody', 'role': 'Writer'}, {'name': 'Luv Ranjan', 'role': 'Writer'}, {'name': 'Ankur Garg', 'role': 'Producer'}, {'name': 'Luv Ranjan', 'role': 'Producer'}, {'name': 'Pritam Chakraborty', 'role': 'Composer'}, {'name': 'Hitesh Sonik', 'role': 'Composer'}, {'name': 'Santhana Krishnan Ravichandran', 'role': 'Cinematographer'}, {'name': 'Anshumaan Singh Thakur', 'role': 'Cinematographer'}, {'name': 'Akiv Ali', 'role': 'Editor'}, {'name': 'Chetan Solanki', 'role': 'Editor'}, {'name': 'Dipankar Dasgupta', 'role': 'Production Designer'}, {'name': 'Manini Mishra', 'role': 'Production Designer'}, {'name': 'Korgaonkar Tejas', 'role': 'Production Designer'}, {'name': 'Shashank Tere', 'role': 'Production Designer'}, {'name': 'Ranbir Kapoor', 'role': 'Mickey / Rohan Arora See more'}, {'name': 'Shraddha Kapoor', 'role': 'Tinni / Nisha Malhotra See more'}, {'name': 'Anubhav Singh Bassi', 'role': 'Manu Dabas See more'}, {'name': 'Kartik Aaryan', 'role': 'Rahul See more'}]",Comedy Romance,2503604,1532311,4035915,Tu Jhoothi Main Makkaar,2023,959688,"March 8, 2023 (APAC, Domestic)",150,https://www.boxofficemojo.com/title/tt8672856/
One True Loves,,"[{'actor': 'Andy Fickman', 'role': 'Director'}, {'actor': 'Taylor Jenkins Reid', 'role': 'Writer'}, {'actor': 'Alex Jenkins Reid', 'role': 'Writer'}, {'actor': 'Adam Beasley', 'role': 'Producer'}, {'actor': 'Andy Fickman', 'role': 'Producer'}, {'actor': 'Sarah Finn', 'role': 'Producer'}, {'actor': 'Arianne Fraser', 'role': 'Producer'}, {'actor': 'Michael Jefferson', 'role': 'Producer'}, {'actor': 'Petr Jákl', 'role': 'Producer'}, {'actor': 'Willie Kutner', 'role': 'Producer'}, {'actor': 'Ryan Donnell Smith', 'role': 'Producer'}, {'actor': 'Betsy Sullenger', 'role': 'Producer'}, {'actor': 'Nathan Wang', 'role': 'Composer'}, {'actor': 'Greg Gardiner', 'role': 'Cinematographer'}, {'actor': 'Jeff Freeman', 'role': 'Editor'}, {'actor': 'Austin Gorg', 'role': 'Production Designer'}, {'actor': 'Phillipa Soo', 'role': 'Emma Blair See more'}, {'actor': 'Simu Liu', 'role': 'Sam See more'}, {'actor': 'Luke Bracey', 'role': 'Jesse See more'}, {'actor': 'Michaela Conlin', 'role': 'Marie See more'}]","[{'name': 'Andy Fickman', 'role': 'Director'}, {'name': 'Taylor Jenkins Reid', 'role': 'Writer'}, {'name': 'Alex Jenkins Reid', 'role': 'Writer'}, {'name': 'Adam Beasley', 'role': 'Producer'}, {'name': 'Andy Fickman', 'role': 'Producer'}, {'name': 'Sarah Finn', 'role': 'Producer'}, {'name': 'Arianne Fraser', 'role': 'Producer'}, {'name': 'Michael Jefferson', 'role': 'Producer'}, {'name': 'Petr Jákl', 'role': 'Producer'}, {'name': 'Willie Kutner', 'role': 'Producer'}, {'name': 'Ryan Donnell Smith', 'role': 'Producer'}, {'name': 'Betsy Sullenger', 'role': 'Producer'}, {'name': 'Nathan Wang', 'role': 'Composer'}, {'name': 'Greg Gardiner', 'role': 'Cinematographer'}, {'name': 'Jeff Freeman', 'role': 'Editor'}, {'name': 'Austin Gorg', 'role': 'Production Designer'}, {'name': 'Phillipa Soo', 'role': 'Emma Blair See more'}, {'name': 'Simu Liu', 'role': 'Sam See more'}, {'name': 'Luke Bracey', 'role': 'Jesse See more'}, {'name': 'Michaela Conlin', 'role': 'Marie See more'}]",Comedy Drama Romance,,377769,377769,One True Loves,2023,,"April 5, 2023 (Domestic)",100,https://www.boxofficemojo.com/title/tt14770620/
UFC 288: Sterling vs Cejudo,,"[{'actor': 'Anthony Giordano', 'role': 'Director'}, {'actor': 'Eric Albarracin', 'role': ""Self - Henry Cejudo's Cornerman See more""}, {'actor': 'Irene Aldana', 'role': 'Self - Audience Member See more'}, {'actor': 'Jéssica Andrade', 'role': 'Self See more'}, {'actor': 'Luciana Andrade', 'role': 'Self - Octagon Girl See more'}]","[{'name': 'Anthony Giordano', 'role': 'Director'}, {'name': 'Eric Albarracin', 'role': ""Self - Henry Cejudo's Cornerman See more""}, {'name': 'Irene Aldana', 'role': 'Self - Audience Member See more'}, {'name': 'Jéssica Andrade', 'role': 'Self See more'}, {'name': 'Luciana Andrade', 'role': 'Self - Octagon Girl See more'}]",Sport,,,,UFC 288: Sterling vs Cejudo,2023,,"May 6, 2023 (Domestic)",180,https://www.boxofficemojo.com/title/tt27429143/
Raiders of the Lost Ark,18000000,"[{'actor': 'Steven Spielberg', 'role': 'Director'}, {'actor': 'Lawrence Kasdan', 'role': 'Writer'}, {'actor': 'George Lucas', 'role': 'Writer'}, {'actor': 'Philip Kaufman', 'role': 'Writer'}, {'actor': 'Frank Marshall', 'role': 'Producer'}, {'actor': 'John Williams', 'role': 'Composer'}, {'actor': 'Douglas Slocombe', 'role': 'Cinematographer'}, {'actor': 'Michael Kahn', 'role': 'Editor'}, {'actor': 'Norman Reynolds', 'role': 'Production Designer'}, {'actor': 'Harrison Ford', 'role': 'Indy See more'}, {'actor': 'Karen Allen', 'role': 'Marion See more'}, {'actor': 'Paul Freeman', 'role': 'Belloq See more'}, {'actor': 'John Rhys-Davies', 'role': 'Sallah See more'}]","[{'name': 'Steven Spielberg', 'role': 'Director'}, {'name': 'Lawrence Kasdan', 'role': 'Writer'}, {'name': 'George Lucas', 'role': 'Writer'}, {'name': 'Philip Kaufman', 'role': 'Writer'}, {'name': 'Frank Marshall', 'role': 'Producer'}, {'name': 'John Williams', 'role': 'Composer'}, {'name': 'Douglas Slocombe', 'role': 'Cinematographer'}, {'name': 'Michael Kahn', 'role': 'Editor'}, {'name': 'Norman Reynolds', 'role': 'Production Designer'}, {'name': 'Harrison Ford', 'role': 'Indy See more'}, {'name': 'Karen Allen', 'role': 'Marion See more'}, {'name': 'Paul Freeman', 'role': 'Belloq See more'}, {'name': 'John Rhys-Davies', 'role': 'Sallah See more'}]",Action Adventure,248159971,141766000,389925971,Raiders of the Lost Ark,2023,8305823,"June 12, 1981 (Domestic)",115,https://www.boxofficemojo.com/title/tt0082971/
Sound of Freedom,,"[{'actor': 'Alejandro Monteverde', 'role': 'Director'}, {'actor': 'Rod Barr', 'role': 'Writer'}, {'actor': 'Alejandro Monteverde', 'role': 'Writer'}, {'actor': 'Eduardo Verástegui', 'role': 'Producer'}, {'actor': 'Javier Navarrete', 'role': 'Composer'}, {'actor': 'Gorka Gómez Andreu', 'role': 'Cinematographer'}, {'actor': 'Brian Scofield', 'role': 'Editor'}, {'actor': 'Carlos Lagunas', 'role': 'Production Designer'}, {'actor': 'Jim Caviezel', 'role': 'Tim Ballard See more'}, {'actor': 'Mira Sorvino', 'role': 'Katherine See more'}, {'actor': 'Bill Camp', 'role': 'Vampiro See more'}, {'actor': 'Cristal Aparicio', 'role': 'Rocío See more'}]","[{'name': 'Alejandro Monteverde', 'role': 'Director'}, {'name': 'Rod Barr', 'role': 'Writer'}, {'name': 'Alejandro Monteverde', 'role': 'Writer'}, {'name': 'Eduardo Verástegui', 'role': 'Producer'}, {'name': 'Javier Navarrete', 'role': 'Composer'}, {'name': 'Gorka Gómez Andreu', 'role': 'Cinematographer'}, {'name': 'Brian Scofield', 'role': 'Editor'}, {'name': 'Carlos Lagunas', 'role': 'Production Designer'}, {'name': 'Jim Caviezel', 'role': 'Tim Ballard See more'}, {'name': 'Mira Sorvino', 'role': 'Katherine See more'}, {'name': 'Bill Camp', 'role': 'Vampiro See more'}, {'name': 'Cristal Aparicio', 'role': 'Rocío See more'}]",Biography Crime Drama History Thriller,184178046,66392350,250570396,Sound of Freedom,2023,19680879,"July 4, 2023 (Domestic)",131,https://www.boxofficemojo.com/title/tt7599146/
Princess Mononoke,,"[{'actor': 'Hayao Miyazaki', 'role': 'Director'}, {'actor': 'Hayao Miyazaki', 'role': 'Writer'}, {'actor': 'Toshio Suzuki', 'role': 'Producer'}, {'actor': 'Joe Hisaishi', 'role': 'Composer'}, {'actor': 'Atsushi Okui', 'role': 'Cinematographer'}, {'actor': 'Hayao Miyazaki', 'role': 'Editor'}, {'actor': 'Takeshi Seyama', 'role': 'Editor'}, {'actor': 'Yôji Matsuda', 'role': 'Ashitaka See more'}, {'actor': 'Yuriko Ishida', 'role': 'San See more'}, {'actor': 'Yûko Tanaka', 'role': 'Eboshi-gozen See more'}, {'actor': 'Kaoru Kobayashi', 'role': 'Jiko-bô See more'}]","[{'name': 'Hayao Miyazaki', 'role': 'Director'}, {'name': 'Hayao Miyazaki', 'role': 'Writer'}, {'name': 'Toshio Suzuki', 'role': 'Producer'}, {'name': 'Joe Hisaishi', 'role': 'Composer'}, {'name': 'Atsushi Okui', 'role': 'Cinematographer'}, {'name': 'Hayao Miyazaki', 'role': 'Editor'}, {'name': 'Takeshi Seyama', 'role': 'Editor'}, {'name': 'Yôji Matsuda', 'role': 'Ashitaka See more'}, {'name': 'Yuriko Ishida', 'role': 'San See more'}, {'name': 'Yûko Tanaka', 'role': 'Eboshi-gozen See more'}, {'name': 'Kaoru Kobayashi', 'role': 'Jiko-bô See more'}]",Adventure Animation Fantasy,11696687,21821198,33573043,Princess Mononoke,2023,144446,"October 29, 1999 (Domestic)",133,https://www.boxofficemojo.com/title/tt0119698/
They Live,,"[{'actor': 'John Carpenter', 'role': 'Director'}, {'actor': 'Ray Nelson', 'role': 'Writer'}, {'actor': 'John Carpenter', 'role': 'Writer'}, {'actor': 'Larry Franco', 'role': 'Producer'}, {'actor': 'John Carpenter', 'role': 'Composer'}, {'actor': 'Alan Howarth', 'role': 'Composer'}, {'actor': 'Gary B. Kibbe', 'role': 'Cinematographer'}, {'actor': 'Gib Jaffe', 'role': 'Editor'}, {'actor': 'Frank E. Jimenez', 'role': 'Editor'}, {'actor': 'Roddy Piper', 'role': 'Nada See more'}, {'actor': 'Keith David', 'role': 'Frank See more'}, {'actor': 'Meg Foster', 'role': 'Holly See more'}, {'actor': ""George 'Buck' Flower"", 'role': 'Drifter See more'}]","[{'name': 'John Carpenter', 'role': 'Director'}, {'name': 'Ray Nelson', 'role': 'Writer'}, {'name': 'John Carpenter', 'role': 'Writer'}, {'name': 'Larry Franco', 'role': 'Producer'}, {'name': 'John Carpenter', 'role': 'Composer'}, {'name': 'Alan Howarth', 'role': 'Composer'}, {'name': 'Gary B. Kibbe', 'role': 'Cinematographer'}, {'name': 'Gib Jaffe', 'role': 'Editor'}, {'name': 'Frank E. Jimenez', 'role': 'Editor'}, {'name': 'Roddy Piper', 'role': 'Nada See more'}, {'name': 'Keith David', 'role': 'Frank See more'}, {'name': 'Meg Foster', 'role': 'Holly See more'}, {'name': ""George 'Buck' Flower"", 'role': 'Drifter See more'}]",Action Horror Sci-Fi Thriller,13447978,,13451150,They Live,2023,4827903,"November 4, 1988 (Domestic)",94,https://www.boxofficemojo.com/title/tt0096256/
Miranda's Victim,,"[{'actor': 'Michelle Danner', 'role': 'Director'}, {'actor': 'George Kolber', 'role': 'Writer'}, {'actor': 'Richard Lasser', 'role': 'Writer'}, {'actor': 'J. Craig Stiles', 'role': 'Writer'}, {'actor': 'Michelle Danner', 'role': 'Producer'}, {'actor': 'Valerie Debler', 'role': 'Producer'}, {'actor': 'Brian Drillinger', 'role': 'Producer'}, {'actor': 'Alexandra Guarnieri', 'role': 'Producer'}, {'actor': 'George Kolber', 'role': 'Producer'}, {'actor': 'Holly Amber Church', 'role': 'Composer'}, {'actor': 'Pierluigi Gigi Malavasi', 'role': 'Cinematographer'}, {'actor': 'Teferi Dejene', 'role': 'Editor'}, {'actor': 'Rick Butler', 'role': 'Production Designer'}, {'actor': 'Lily Guerin', 'role': 'Production Designer'}, {'actor': 'Kyle MacLachlan', 'role': 'Chief Justice Earl Warren See more'}, {'actor': 'Andy Garcia', 'role': 'Alvin Moore See more'}, {'actor': 'Emily VanCamp', 'role': 'Ann Weir See more'}, {'actor': 'Donald Sutherland', 'role': 'Judge Wren See more'}]","[{'name': 'Michelle Danner', 'role': 'Director'}, {'name': 'George Kolber', 'role': 'Writer'}, {'name': 'Richard Lasser', 'role': 'Writer'}, {'name': 'J. Craig Stiles', 'role': 'Writer'}, {'name': 'Michelle Danner', 'role': 'Producer'}, {'name': 'Valerie Debler', 'role': 'Producer'}, {'name': 'Brian Drillinger', 'role': 'Producer'}, {'name': 'Alexandra Guarnieri', 'role': 'Producer'}, {'name': 'George Kolber', 'role': 'Producer'}, {'name': 'Holly Amber Church', 'role': 'Composer'}, {'name': 'Pierluigi Gigi Malavasi', 'role': 'Cinematographer'}, {'name': 'Teferi Dejene', 'role': 'Editor'}, {'name': 'Rick Butler', 'role': 'Production Designer'}, {'name': 'Lily Guerin', 'role': 'Production Designer'}, {'name': 'Kyle MacLachlan', 'role': 'Chief Justice Earl Warren See more'}, {'name': 'Andy Garcia', 'role': 'Alvin Moore See more'}, {'name': 'Emily VanCamp', 'role': 'Ann Weir See more'}, {'name': 'Donald Sutherland', 'role': 'Judge Wren See more'}]",Crime Drama,,100302,100302,Miranda's Victim,2023,,"October 6, 2023 (Domestic)",127,https://www.boxofficemojo.com/title/tt14866108/
The Last Rifleman,,"[{'actor': 'Terry Loane', 'role': 'Director'}, {'actor': 'Kevin Fitzpatrick', 'role': 'Writer'}, {'actor': 'Katy Jackson', 'role': 'Producer'}, {'actor': 'John Leslie', 'role': 'Producer'}, {'actor': 'Stephen Warbeck', 'role': 'Composer'}, {'actor': 'Mark McCauley', 'role': 'Cinematographer'}, {'actor': 'John Walters', 'role': 'Editor'}, {'actor': 'John Leslie', 'role': 'Production Designer'}, {'actor': 'Pierce Brosnan', 'role': 'Artie Crawford See more'}, {'actor': 'Clémence Poésy', 'role': 'Juliette Bellamy See more'}, {'actor': 'John Amos', 'role': 'Lincoln Jefferson Adams See more'}, {'actor': 'Jürgen Prochnow', 'role': 'Friedrich Mueller See more'}]","[{'name': 'Terry Loane', 'role': 'Director'}, {'name': 'Kevin Fitzpatrick', 'role': 'Writer'}, {'name': 'Katy Jackson', 'role': 'Producer'}, {'name': 'John Leslie', 'role': 'Producer'}, {'name': 'Stephen Warbeck', 'role': 'Composer'}, {'name': 'Mark McCauley', 'role': 'Cinematographer'}, {'name': 'John Walters', 'role': 'Editor'}, {'name': 'John Leslie', 'role': 'Production Designer'}, {'name': 'Pierce Brosnan', 'role': 'Artie Crawford See more'}, {'name': 'Clémence Poésy', 'role': 'Juliette Bellamy See more'}, {'name': 'John Amos', 'role': 'Lincoln Jefferson Adams See more'}, {'name': 'Jürgen Prochnow', 'role': 'Friedrich Mueller See more'}]",Biography Drama War,,10061,10061,The Last Waltz,2023,,"December 21, 2023 (Russia/CIS)",95,https://www.boxofficemojo.com/title/tt12404266/
The Abyss,,"[{'actor': 'Richard Holm', 'role': 'Director'}, {'actor': 'Richard Holm', 'role': 'Writer'}, {'actor': 'Robin Sherlock Holm', 'role': 'Writer'}, {'actor': 'Nicola Sinclair', 'role': 'Writer'}, {'actor': 'Madison Denbrock', 'role': 'Producer'}, {'actor': 'Joakim Hansson', 'role': 'Producer'}, {'actor': 'Lasse Enersen', 'role': 'Composer'}, {'actor': 'Anssi Leino', 'role': 'Cinematographer'}, {'actor': 'Richard Holm', 'role': 'Editor'}, {'actor': 'Thomas Lagerman', 'role': 'Editor'}, {'actor': 'Anders Nilsson', 'role': 'Editor'}, {'actor': 'Dave Marshall', 'role': 'Production Designer'}, {'actor': 'Tuva Novotny', 'role': 'Frigga Vibenius See more'}, {'actor': 'Peter Franzén', 'role': 'Tage Vibenius See more'}, {'actor': 'Kardo Razzazi', 'role': 'Dabir Ayobi See more'}, {'actor': 'Felicia Maxime', 'role': 'Mica Vibenius See more'}]","[{'name': 'Richard Holm', 'role': 'Director'}, {'name': 'Richard Holm', 'role': 'Writer'}, {'name': 'Robin Sherlock Holm', 'role': 'Writer'}, {'name': 'Nicola Sinclair', 'role': 'Writer'}, {'name': 'Madison Denbrock', 'role': 'Producer'}, {'name': 'Joakim Hansson', 'role': 'Producer'}, {'name': 'Lasse Enersen', 'role': 'Composer'}, {'name': 'Anssi Leino', 'role': 'Cinematographer'}, {'name': 'Richard Holm', 'role': 'Editor'}, {'name': 'Thomas Lagerman', 'role': 'Editor'}, {'name': 'Anders Nilsson', 'role': 'Editor'}, {'name': 'Dave Marshall', 'role': 'Production Designer'}, {'name': 'Tuva Novotny', 'role': 'Frigga Vibenius See more'}, {'name': 'Peter Franzén', 'role': 'Tage Vibenius See more'}, {'name': 'Kardo Razzazi', 'role': 'Dabir Ayobi See more'}, {'name': 'Felicia Maxime', 'role': 'Mica Vibenius See more'}]",Action Drama Thriller,,21894,21894,The Abyss,2023,,"March 15, 2024 (Norway)",103,https://www.boxofficemojo.com/title/tt22016156/
He Went That Way,,"[{'actor': 'Jeffrey Darling', 'role': 'Director'}, {'actor': 'Evan M. Wiener', 'role': 'Writer'}, {'actor': 'Marc Benardout', 'role': 'Producer'}, {'actor': 'Hugh Broder', 'role': 'Producer'}, {'actor': 'James Harris', 'role': 'Producer'}, {'actor': 'Jeremy L Kotin', 'role': 'Producer'}, {'actor': 'Mark Lane', 'role': 'Producer'}, {'actor': 'Jamie N. Commons', 'role': 'Composer'}, {'actor': 'Nicolas Rosen', 'role': 'Composer'}, {'actor': 'Sean Bagley', 'role': 'Cinematographer'}, {'actor': 'Adam Wills', 'role': 'Editor'}, {'actor': 'Ryan Martin', 'role': 'Production Designer'}, {'actor': 'Jacob Elordi', 'role': 'Bobby See more'}, {'actor': 'Zachary Quinto', 'role': 'Jim See more'}, {'actor': 'Patrick J. Adams', 'role': 'Saul See more'}, {'actor': 'Troy Evans', 'role': 'Hank See more'}]","[{'name': 'Jeffrey Darling', 'role': 'Director'}, {'name': 'Evan M. Wiener', 'role': 'Writer'}, {'name': 'Marc Benardout', 'role': 'Producer'}, {'name': 'Hugh Broder', 'role': 'Producer'}, {'name': 'James Harris', 'role': 'Producer'}, {'name': 'Jeremy L Kotin', 'role': 'Producer'}, {'name': 'Mark Lane', 'role': 'Producer'}, {'name': 'Jamie N. Commons', 'role': 'Composer'}, {'name': 'Nicolas Rosen', 'role': 'Composer'}, {'name': 'Sean Bagley', 'role': 'Cinematographer'}, {'name': 'Adam Wills', 'role': 'Editor'}, {'name': 'Ryan Martin', 'role': 'Production Designer'}, {'name': 'Jacob Elordi', 'role': 'Bobby See more'}, {'name': 'Zachary Quinto', 'role': 'Jim See more'}, {'name': 'Patrick J. Adams', 'role': 'Saul See more'}, {'name': 'Troy Evans', 'role': 'Hank See more'}]",Crime Drama Thriller,,4339,4339,He Went That Way,2023,,"January 5, 2024 (Domestic)",95,https://www.boxofficemojo.com/title/tt14772014/
